flashcard_id,stack_id,frontside,backside,learning_status
371,228,Spike Lichen,Calicium leucochlorum Tuck.,371
372,1000,Hybrid Oak,Quercus ×megaleia Laughlin,372
373,363,Awalua Ridge Tetramolopium,Tetramolopium remyi (A. Gray) Hillebr.,373
374,745,Pink Plains Beardtongue,Penstemon ambiguus Torr. var. laevissimus (D.D. Keck) N.H. Holmgren,374
375,35,Gray Gum,Eucalyptus punctata DC.,375
376,602,Gulf Vervain,Verbena xutha Lehm.,376
377,960,City Goosefoot,Chenopodium urbicum L.,377
378,410,Sharpleaf Buttercup,Ranunculus acriformis A. Gray var. acriformis,378
379,792,Hawai'i Roughbush,Streblus pendulinus (Endl.) F. Muell.,379
380,730,Toothpetal Bog Orchid,Habenaria odontopetala Rchb. f.,380
381,616,African Bermudagrass,Cynodon nlemfuensis Vanderyst var. robustus W.D. Clayton & Harlan,381
382,314,Tall Thimbleweed,Anemone virginiana L. var. alba (Oakes) Alph. Wood,382
383,755,Purple Pricklypear,Opuntia macrocentra Engelm.,383
384,394,Shockley's Desert-thorn,Lycium shockleyi A. Gray,384
385,722,O'kennon's Hawthorn,Crataegus okennonii Phipps,385
386,279,Sicklekeel Lupine,Lupinus albicaulis Douglas var. albicaulis,386
387,775,Palo De Hierro,Ixora ferrea (Jacq.) Benth.,387
388,874,Trelease's Century Plant,Agave schottii Engelm. var. treleasei (Toumey) Kearney & Peebles,388
389,47,Ballhead Ipomopsis,Ipomopsis congesta (Hook.) V.E. Grant ssp. crebrifolia (Nutt.) Day,389
390,748,Peltate Tonguefern,Elaphoglossum peltatum (Sw.) Urb.,390
391,329,Moss Tufted Orchid,Jacquiniella teretifolia (Sw.) Britton & P. Wilson,391
392,478,Wheatgrass,Thinopyrum Á. Löve,392
393,728,Coconut Palm,Cocos L.,393
394,686,Giant Kokee Cyanea,Cyanea leptostegia A. Gray,394
395,556,Spike Trisetum,Trisetum spicatum (L.) K. Richt.,395
396,207,Asian Copperleaf,Acalypha australis L.,396
397,285,Sweet Four O'clock,Mirabilis longiflora L. var. wrightiana (A. Gray ex Britton & Kearney) Kearney & Peebles,397
398,706,Ulunahele,Cyrtandra kauaiensis Wawra,398
399,475,Manybristle Chinchweed,Pectis papposa Harv. & A. Gray var. papposa,399
400,896,African Dodder,Cuscuta cassytoides Nees ex Engelm.,400
401,325,Vetch,Vicia palaestina Boiss.,401
402,582,Irion County Buckwheat,Eriogonum nealleyi J.M. Coult.,402
403,213,Bull's Coraldrops,Besseya bullii (Eaton) Rydb.,403
404,751,Tree Poppy,Dendromecon rigida Benth. ssp. rigida,404
405,788,Climbing False Buckwheat,Polygonum scandens L.,405
406,1,Wright's False Threadleaf,Schkuhria anthemoidea (DC.) J.M. Coult. var. wrightii (A. Gray) Heiser,406
407,22,Creeping Tonguefern,Elaphoglossum aemulum (Kaulf.) Brack.,407
408,856,Woolly Prairie Clover,Dalea lanata Spreng.,408
409,811,Muilla,Muilla S. Watson ex Benth.,409
410,827,Davidson's Penstemon,Penstemon davidsonii Greene,410
411,800,Indian Manzanita,Arctostaphylos mewukka Merriam,411
412,786,Lancepod Draba,Draba lonchocarpa Rydb. var. vestita O.E. Schulz,412
413,996,Browne's Savory,Clinopodium brownei (Sw.) Kuntze,413
414,852,Stenocereus,Stenocereus (A. Berger) Riccob.,414
415,419,Maiden Blue Eyed Mary,Collinsia parviflora Lindl.,415
416,209,Keyflower,Dactylorhiza majalis (Rchb. f.) P.F. Hunt & Summerhayes ssp. praetermissa (Druce) D.M. Moore & Soó var. praetermissa,416
417,313,Manystem Sedge,Carex multicaulis L.H. Bailey,417
418,905,Alpine Clover,Trifolium dasyphyllum Torr. & A. Gray,418
419,105,Dutilly's Barley,×Elyhordeum dutillyanum Lepage,419
420,901,Grassland Croton,Croton dioicus Cav.,420
421,288,Arizona Bladderpod,Lesquerella arizonica S. Watson,421
422,31,Forkleaf Toothwort,Cardamine dissecta (Leavenworth) Al-Shehbaz,422
423,73,Needle Mountain Milkvetch,Astragalus eurylobus (Barneby) Barneby,423
424,417,Slender False Brome,Brachypodium sylvaticum (Huds.) P. Beauv.,424
425,833,Entirewing Bristle Fern,Trichomanes holopterum Kunze,425
426,13,Wart Lichen,Verrucaria tectorum (A. Massal.) Körb.,426
427,667,Wild Chives,Allium schoenoprasum L.,427
428,222,Large False Groundcherry,Leucophysalis grandiflora (Hook.) Rydb.,428
429,314,Zygodon Moss,Zygodon gracilis Wilson,429
430,541,Disc Lichen,Buellia nantiana de Lesd.,430
431,109,California Laurel,Umbellularia californica (Hook. & Arn.) Nutt. var. californica,431
432,725,Flaxleaf Monardella,Monardella linoides A. Gray ssp. linoides,432
433,168,Lesser California Rayless Fleabane,Erigeron reductus (Cronquist) G.L. Nesom var. angustatus (A. Gray) G.L. Nesom,433
434,38,Na'ena'e Pua Melemele,Dubautia laxa Hook. & Arn. ssp. pseudoplantaginea (Skottsb.) G.D. Carr,434
435,896,Enquist's Brazos-mint,Brazoria enquistii M.W. Turner,435
436,401,Douglas' Meadowfoam,Limnanthes douglasii R. Br. ssp. rosea (Hartw. ex Benth.) C.T. Mason,436
437,191,Tulip Poppy,Papaver glaucum Boiss. & Hausskn.,437
438,462,Oil Palm,Elaeis Jacq.,438
439,503,Dicranum Moss,Dicranum spadiceum J.E. Zetterst.,439
440,283,Yukon Groundsel,Tephroseris yukonensis (A.E. Porsild) Holub,440
441,563,Zigzag Iris,Iris brevicaulis Raf.,441
442,136,Siberian Sea Thrift,Armeria maritima (Mill.) Willd. ssp. sibirica (Turcz. ex Boiss.) Nyman,442
443,672,Swampmallow,Pavonia Cav.,443
444,7,Savannah False Pimpernel,Lindernia grandiflora Nutt.,444
445,73,Violet Milkvetch,Astragalus iodopetalus (Rydb.) Barneby,445
446,217,Mazus,Mazus Lour.,446
447,90,Woodfern,Dryopteris ×leedsii Wherry,447
448,654,Siberian Phlox,Phlox sibirica L.,448
449,158,Cushion Cryptantha,Cryptantha circumscissa (Hook. & Arn.) I.M. Johnst.,449
450,801,Waxy Mannagrass,Glyceria declinata Brébiss.,450
451,869,Southern Flax,Linum australe A. Heller var. australe,451
452,120,Marijuana,Cannabis sativa L. ssp. sativa var. sativa,452
453,128,Holm Sedge,Carex heteroneura W. Boott var. chalciolepis (T. Holm) F.J. Herm.,453
454,673,Basin Bellflower,Campanula reverchonii A. Gray,454
455,427,Manybranched Pepperweed,Lepidium ramosissimum A. Nelson var. ramosissimum,455
456,183,Livermore Nailwort,Paronychia monticola Cory,456
457,9,Pygmymelon,Psiguria Neck. ex Arn.,457
458,172,Annual Toothleaf,Stillingia spinulosa Torr.,458
459,5,Fabronia Moss,Fabronia ciliaris (Brid.) Brid. var. ciliaris,459
460,300,Roadside Toadflax,Linaria aeruginea (Gouan) Cav.,460
461,62,Wand Woollystar,Eriastrum virgatum (Benth.) H. Mason,461
462,490,Hoary Pincushionplant,Navarretia eriocephala H. Mason,462
463,245,Suksdorf's Spikerush,Eleocharis suksdorfiana P. Beauv.,463
464,781,Menzies' Burnet,Sanguisorba menziesii Rydb.,464
465,678,Hawai'i Holly,Ilex anomala Hook. & Arn.,465
466,987,Willdenow's Spikemoss,Selaginella willdenowii (Desv. ex Poir.) Baker,466
467,923,Subtropical Common Reed,Phragmites australis (Cav.) Trin. ex Steud. ssp. berlandieri (E. Fourn.) Saltonst. & Hauber,467
468,694,Flower Of Stone,Selaginella lepidophylla (Hook. & Grev.) Spring,468
469,433,Vahl's Fimbry,Fimbristylis vahlii (Lam.) Link,469
470,956,Wart Lichen,Pyrenula Ach.,470
471,361,Warner's Dodder,Cuscuta warneri Yunck.,471
472,536,Common Russet Grass,Loudetia simplex (Nees) C.E. Hubb.,472
473,107,Mucuna,Mucuna Adans.,473
474,247,Macoun's Hornwort,Anthoceros macounii M. Howe,474
475,960,Walker Pass Milkvetch,Astragalus ertterae Barneby & Shevock,475
476,67,Fringed Nutrush,Scleria ciliata Michx. var. glabra (Chapm.) Fairey,476
477,336,Mono Milkvetch,Astragalus monoensis Barneby,477
478,47,Pinelandcress,Warea Nutt.,478
479,564,Alpine Bluebells,Mertensia alpina (Torr.) G. Don,479
480,339,Marbleseed,Onosmodium Michx.,480
481,182,Auerodendron,Auerodendron Urb.,481
482,440,Lung Lichen,Lobaria pseudopulmonaria Gyel.,482
483,490,Littleleaf Bush Penstemon,Penstemon fruticosus (Pursh) Greene var. scouleri (Lindl.) Cronquist,483
484,860,Betonyleaf Noseburn,Tragia betonicifolia Nutt.,484
485,565,Simpson's Buckwheat,Eriogonum microthecum Nutt. var. simpsonii (Benth.) Reveal,485
486,583,Tundra Aster,Oreostemma alpigenum (Torr. & A. Gray) Greene,486
487,127,Tufted Airplant,Guzmania Ruiz & Pav.,487
488,273,Prairie Goldenrod,Oligoneuron album (Nutt.) G.L. Nesom,488
489,803,Yerba Mansa,Anemopsis californica (Nutt.) Hook. & Arn.,489
490,502,Clusterleaf,Terminalia sericea Burch. ex DC.,490
491,342,Naked Buckwheat,Eriogonum nudum Douglas ex Benth. var. auriculatum (Benth.) Tracy ex Jeps.,491
492,360,Trans-pecos Chickweed,Cerastium axillare Correll,492
493,785,King's Serpentweed,Tonestus kingii (D.C. Eaton) G.L. Nesom var. kingii,493
494,443,Oahu Flatsedge,Cyperus hypochlorus Hillebr. var. hypochlorus,494
495,288,Atlantic Goldenrod,Solidago arguta Aiton var. arguta,495
496,592,Pulvinate Euopsis Lichen,Euopsis pulvinata (Schaerer) Vain.,496
497,761,Gray's Milkvetch,Astragalus grayi Parry ex S. Watson,497
498,471,Sheathed Wildparsley,Musineon vaginatum Rydb.,498
499,158,Nyctaginia,Nyctaginia Choisy,499
500,53,Frightful Sedge,Carex molestiformis Reznicek & P. Rothr.,500
501,874,Depauperate Fleabane,Erigeron mancus Rydb.,501
502,439,Newberry's Twinpod,Physaria newberryi A. Gray var. yesicola R.C. Sivinski,502
503,858,Ditrichum Moss,Ditrichum zonatum (Brid.) Kindb.,503
504,359,Howell's Phacelia,Howellanthus (Constance) Walden & R. Patt.,504
505,905,Scribble Lichen,Opegrapha Ach.,505
506,598,Eaton's Aster,Symphyotrichum eatonii (A. Gray) G.L. Nesom,506
507,600,Panhandle Lily,Lilium iridollae Henry,507
508,214,Louisiana Rim Lichen,Lecanora louisianae de Lesd.,508
509,502,Golden Linanthus,Leptosiphon aureus (Nutt.) J.M. Porter & L.A. Johnson,509
510,968,Adoxa,Adoxa L.,510
511,818,Paddo Rockcress,Arabis lemmonii S. Watson var. paddoensis Rollins,511
512,171,Arawnig,Tabebuia capitata (Bureau & K. Schum.) Sandwith,512
513,306,Island Ceanothus,Ceanothus megacarpus Nutt. var. insularis (Eastw.) Munz,513
514,260,Coast Range Stonecrop,Sedum radiatum S. Watson,514
515,995,Diamondleaf Fern,Lophosoria quadripinnata (J.F. Gmel.) C. Chr.,515
516,551,Japanese Primrose,Primula japonica A. Gray,516
517,371,Ramensk's Sedge,Carex ramenskii Kom.,517
518,852,Barbasco,Lonchocarpus urucu Killip & A.C. Sm.,518
519,945,Hairy Leafcup,Smallanthus uvedalius (L.) Mack. ex Small,519
520,462,Pygmy Bluehearts,Buchnera pusilla Kunth,520
521,247,Hillman's Stinkweed,Cleomella hillmanii A. Nelson,521
522,76,Mustard,Euclidium W.T. Aiton,522
523,420,Blue Ridge Bittercress,Cardamine flagellifera O.E. Schulz var. hugeri (Small) Rollins,523
524,398,Perezia,Perezia multiflora (Humb. & Bonpl.) Less.,524
525,142,Woodrush Sedge,Carex luzulina Olney var. ablata (L.H. Bailey) F.J. Herm.,525
526,527,Thelocarpon Lichen,Thelocarpon epibolum Nyl. var. epithallinum (Leight. ex Nyl.) Salisb.,526
527,575,Blue Mountain Milkvetch,Astragalus reventus A. Gray,527
528,356,Sessilefruit Arrowhead,Sagittaria rigida Pursh,528
529,988,Rinodina Lichen,Rinodina endophragmia Lamb,529
530,749,Cutleaf Blazingstar,Mentzelia laciniata (Rydb.) J. Darl.,530
531,135,Mimusops,Mimusops L.,531
532,37,Cascades Strawberry,Fragaria cascadensis K.E. Hummer,532
533,64,Gray's Flatsedge,Cyperus grayi Torr.,533
534,738,Hana Forest Silversword,Argyroxiphium grayanum (Hillebr.) O. Deg.,534
535,585,Sulphur Lichen,Fulgensia A. Massal. & De Not.,535
536,714,Sandyplain Clustervine,Jacquemontia cayensis Britton,536
537,438,Hypotrachyna Lichen,Hypotrachyna thysanota (Kurok.) Hale,537
538,344,Sawtooth Sunflower,Helianthus grosseserratus M. Martens,538
539,544,Storm Saxifrage,Saxifraga tempestiva Elvander & Denton,539
540,342,Snowrose,Serissa Commerson ex A. Juss.,540
541,279,Dotted Lichen,Bacidia trachona (Ach.) Lettau,541
542,843,Redstem Ceanothus,Ceanothus sanguineus Pursh,542
543,851,Hepburn's Sedge,Carex nardina Fr. var. hepburnii (Boott) Kük.,543
544,862,Imberis Woodyaster,Xylorhiza tortifolia (Torr. & A. Gray) Greene var. imberbis (Cronquist) T.J. Watson,544
545,854,Cleftleaf Wildheliotrope,Phacelia crenulata Torr. ex S. Watson var. corrugata (A. Nelson) Brand,545
546,149,Claybank Beaksedge,Rhynchospora rugosa (Vahl) Gale,546
547,977,Florida Hammock Sandmat,Chamaesyce ophthalmica (Pers.) Burch,547
548,210,California Goldenbush,Ericameria ericoides (Less.) Jeps.,548
549,667,Nuttall's Toothwort,Cardamine nuttallii Greene var. gemmata (Greene) Rollins,549
550,890,Hellroot,Orobanche minor Sm.,550
551,309,Pyrrhospora Lichen,Pyrrhospora quernea (Dicks.) Körb.,551
552,631,Calico Aster,Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve var. horizontale (Desf.) G.L. Nesom,552
553,111,Freckled Milkvetch,Astragalus lentiginosus Douglas ex Hook. var. palans (M.E. Jones) M.E. Jones,553
554,874,Brittled Gum,Eucalyptus mannifera Mudie ssp. maculosa (R.T. Baker) L.A.S. Johnson,554
555,379,Big Sacaton,Sporobolus wrightii Munro ex Scribn.,555
556,400,Schied's Snakeherb,Dyschoriste schiedeana (Nees) Kuntze,556
557,321,Moth Bean,Vigna aconitifolia (Jacq.) Marechal,557
558,637,Fuller's Teasel,Dipsacus fullonum L.,558
559,879,Florida Jointweed,Polygonella basiramia (Small) G.L. Nesom & V.M. Bates,559
560,429,Spoonleaf Buckwheat,Eriogonum spathulatum A. Gray,560
561,786,Sanddune Wallflower,Erysimum capitatum (Douglas ex Hook.) Greene,561
562,974,Haleakala Clermontia,Clermontia tuberculata Forbes,562
563,174,Ridged Pteralyxia,Pteralyxia macrocarpa (Hillebr.) K. Schum.,563
564,737,Kauai Fern,Vandenboschia tubiflora F.S. Wagner,564
565,629,Wart Lichen,Pyrenula leucostoma Ach.,565
566,619,Matting Rosette Grass,Dichanthelium meridionale (Ashe) Freckmann,566
567,808,Cloakfern,Astrolepis Benham & Windham,567
568,87,Eschweiler's Pyxine Lichen,Pyxine eschweileri (Tuck.) Vain.,568
569,372,Tipa,Tipuana tipu (Benth.) Kuntze,569
570,182,Cutgrass,Zizaniopsis Döll & Asch.,570
571,662,Red-flower Moort,Eucalyptus nutans F. Muell.,571
572,474,Hog Plum,Prunus umbellata Elliott,572
573,570,Skin Lichen,Leptogium dactylinum Tuck.,573
574,135,Dedecker's Clover,Trifolium dedeckerae J.M. Gillett,574
575,247,Hasse's Lecidea Lichen,Lecidea hassei Zahlbr.,575
576,947,Waxflower,Etlingera cevuga (Seem.) R.M. Sm.,576
577,745,St. Eustatius Threeawn,Aristida suringarii Henr.,577
578,298,Bastard Redwood,Chrysophyllum argenteum Jacq.,578
579,933,Muck Sunflower,Helianthus simulans E.E. Watson,579
580,773,Sleeping Combseed,Pectocarya penicillata (Hook. & Arn.) A. DC.,580
581,55,Algal Bulrush,Websteria confervoides (Poir.) S. Hooper,581
582,993,Chihuahuan Sedge,Carex chihuahuensis Mack.,582
583,599,Ginger-leaf Morning-glory,Ipomoea asarifolia (Desr.) Roem. & Schult.,583
584,652,Lambsquarters,Chenopodium album L.,584
585,987,Casia Amarilla,Senna spectabilis (DC.) Irwin & Barneby,585
586,145,Rinodina Lichen,Rinodina archaea (Ach.) Arnold,586
587,813,Dunkeld Larch,Larix ×marschlinsii Coaz,587
588,431,West Indian Spiderlily,Hymenocallis expansa (Herb.) Herb.,588
589,593,Hoary Blackfoot,Melampodium cinereum DC. var. cinereum,589
590,436,Crabseye Lichen,Ochrolechia rhodoleuca (Th. Fr.) Brodo,590
591,29,Nyctaginia,Nyctaginia Choisy,591
592,298,Great Basin Desert Buckwheat,Eriogonum desertorum (Maguire) R.J. Davis,592
593,211,Jepson Ceanothus,Ceanothus jepsonii Greene,593
594,373,Lung Lichen,Lobaria quercizans Michx.,594
595,393,Tough Bully,Sideroxylon tenax L.,595
596,813,Trelease's Hybrid Willowherb,Epilobium ×treleaseanum H. Lév.,596
597,412,Hybrid Hickory,Carya ×nussbaumeri Sarg.,597
598,808,Zarzabacoa De Monte,Desmodium axillare (Sw.) DC. var. axillare,598
599,549,Mojave Kingcup Cactus,Echinocereus mojavensis (Engelm. & J.M. Bigelow) Rümpler,599
600,120,San Nicolas Island Buckwheat,Eriogonum grande Greene var. timorum Reveal,600
601,959,American Alpine Speedwell,Veronica wormskjoldii Roem. & Schult.,601
602,62,Frederick's Festulolium,×Festulolium fredericii Cugnac & A. Camus,602
603,78,Felt Lichen,Peltigera rufescens (Weiss) Humb.,603
604,610,Matamoros Saltbush,Atriplex matamorensis A. Nelson,604
605,38,Hypotrachyna Lichen,Hypotrachyna prolongata (Kurok.) Hale,605
606,832,Granite Stonecrop,Sedum pusillum Michx.,606
607,996,Malheur Wirelettuce,Stephanomeria malheurensis Gottlieb,607
608,976,Variable Spleenwort,Asplenium varians Wall. ex Hook. & Grev.,608
609,863,Black Medick,Medicago lupulina L.,609
610,829,Maxon's Tonguefern,Elaphoglossum maxonii Underw. ex Morton,610
611,902,Hillside Gooseberry,Ribes californicum Hook. & Arn.,611
612,870,Roof's Manzanita,Arctostaphylos manzanita Parry ssp. roofii (Gankin) P.V. Wells,612
613,468,Rockmart Hawthorn,Crataegus valida Beadle,613
614,189,Earthsmoke,Fumaria vaillantii Loisel.,614
615,136,Aniba,Aniba Aubl.,615
616,743,Guadeloupe Cucumber,Melothria pendula L. var. crassifolia (Small) Cogn.,616
617,98,Mojave Yucca,Yucca schidigera Roezl ex Ortgies,617
618,141,Rio Grande Tickseed,Coreopsis nuecensoides E.B. Sm.,618
619,800,Tall Albizia,Albizia procera (Roxb.) Benth.,619
620,466,Ballhead Sandwort,Arenaria congesta Nutt. var. congesta,620
621,845,Juan Tomas,Rondeletia portoricensis Krug & Urb.,621
622,268,Showy Medinilla,Medinilla magnifica Lindl.,622
623,214,Pore Lichen,Pertusaria rhexostoma Nyl.,623
624,92,Pogonatum Moss,Pogonatum urnigerum (Hedw.) P. Beauv.,624
625,160,Bottle Gentian,Gentiana clausa Raf.,625
626,934,Saltmarsh Bird's-beak,Cordylanthus maritimus Nutt. ex Benth. ssp. canescens (A. Gray) T.I. Chuang & Heckard,626
627,228,Tuberous Springbeauty,Claytonia tuberosa Pall. ex Schult. var. czukczorum (Volkova) Hultén,627
628,749,Bushy Goldentop,Euthamia leptocephala (Torr. & A. Gray) Greene ex Porter & Britton,628
629,148,Mexican Flannelbush,Fremontodendron mexicanum Davidson,629
630,674,Hairy Ironwort,Sideritis lanata L.,630
631,773,Grassland Tarweed,Deinandra increscens (H.M. Hall ex D.D. Keck) B.G. Baldw. ssp. foliosa (Hoover) B.G. Baldw.,631
632,412,Coast Plantain,Plantago bigelovii A. Gray ssp. californica (Greene) Bassett,632
633,756,Coyol Palm,Acrocomia vinifera Oersted,633
634,747,Shield Lichen,Heterodermia diademata (Taylor) D.D. Awasthi,634
635,857,Arizona Pine,Pinus arizonica Engelm. var. stormiae Martínez,635
636,208,Dwarf False Pennyroyal,Hedeoma nana (Torr.) Briq.,636
637,496,Howeia,Howeia Becc.,637
638,71,San Luis Yellowcress,Rorippa coloradensis R. Stuckey,638
639,131,Polytrichum Moss,Polytrichum commune Hedw.,639
640,356,Smooth Small-leaf Ticktrefoil,Desmodium marilandicum (L.) DC.,640
641,473,Hoppner's Sedge,Carex subspathacea Wormsk. ex Hornem.,641
642,453,Rocky Mountain Goosefoot,Chenopodium salinum Standl.,642
643,73,Twotipped Sedge,Carex lachenalii Schkuhr,643
644,201,Jamaican Cherry Fig,Ficus americana Aubl.,644
645,542,Yerba De Clavo,Hydrocotyle hirsuta Sw.,645
646,853,Purple Wildrye,×Elyleymus aristatus (Merr.) Barkworth & D.R. Dewey,646
647,281,Crested Wheatgrass,Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev,647
648,670,Uinta Basin Hookless Cactus,Sclerocactus wetlandicus Hochstätter,648
649,766,Idaho Milkvetch,"Astragalus conjunctus S. Watson var. rickardii S.L. Welsh, K. Beck & F. Caplow",649
650,854,Rusby's Sedge,Carex vallicola Dewey var. rusbyi (Mack.) F.J. Herm.,650
651,947,Breutel's Notothylas,Notothylas breutelii (Gottsche) Gottsche,651
652,328,Funeral Mountain Milkvetch,Astragalus funereus M.E. Jones,652
653,456,Pseudostellaria,Pseudostellaria sierrae Rabeler & R.L. Hartm.,653
654,778,Lettuceleaf Saxifrage,Saxifraga micranthidifolia (Haw.) Steud.,654
655,744,Pinoche Creek Larkspur,Delphinium gypsophilum Ewan ssp. parviflorum F.H. Lewis & Epling,655
656,286,Alkali Cusickiella,Cusickiella douglasii (A. Gray) Rollins,656
657,531,Alaskan Douglasia,Douglasia alaskana (Coville & Standl. ex Hultén) S. Kelso,657
658,977,Castle Lake Bedstraw,Galium glabrescens (Ehrend.) Dempster & Ehrend. ssp. glabrescens,658
659,157,Chilean Clover,Trifolium macraei Hook. & Arn.,659
660,569,Desert Trumpet,Eriogonum inflatum Torr. & Frém. var. deflatum I.M. Johnst.,660
661,644,Carolina Rose,Rosa carolina L. var. setigera Crép.,661
662,171,Wright's Trumpets,Acleisanthes wrightii (A. Gray) Benth. & Hook. f. ex Hemsl.,662
663,980,Park Rockcress,Arabis fernaldiana Rollins var. fernaldiana,663
664,594,Crandall's Beardtongue,Penstemon crandallii A. Nelson ssp. procumbens (Greene) D.D. Keck,664
665,137,Jaeger's Joshua Tree,Yucca brevifolia Engelm. var. jaegeriana McKelvey,665
666,957,Gulf Sebastian-bush,Ditrysinia fruticosa (W. Bartram) Govaerts & Frodin,666
667,855,Zarzabacoa Galana,Desmodium adscendens (Sw.) DC.,667
668,730,Brome,Bromus L.,668
669,458,Woolly Willow,Salix calcicola Fernald & Wiegand,669
670,943,Hillebrandia,Hillebrandia Oliv.,670
671,176,Trans-pecos False Clapdaisy,Pseudoclappia arenaria Rydb.,671
672,800,Tortula Moss,Tortula laevipila (Brid.) Schwägr. var. meridionalis (Schimp.) Wijk & Margad.,672
673,145,Tiny Purslane,Portulaca minuta Correll,673
674,557,Oahu Cowpea,Vigna owahuensis Vogel,674
675,691,Smallflower False Foxglove,Agalinis paupercula (A. Gray) Britton var. paupercula,675
676,992,Sedge,Carex atrata L.,676
677,140,Twocolor Monkshood,Aconitum ×bicolor Schult. (pro sp.),677
678,294,Thread Rush,Juncus filiformis L.,678
679,799,Parish's Oxytheca,Oxytheca parishii Parry,679
680,900,Leggett's Pinweed,Lechea pulchella Raf. var. moniliformis (E.P. Bicknell) Seymour,680
681,421,Desert Indianbush,Psacalium decompositum (A. Gray) H. Rob. & Brettell,681
682,209,Largeflower Heartleaf,Hexastylis shuttleworthii (Britten & Baker f.) Small,682
683,432,Southwestern Needlegrass,Achnatherum eminens (Cav.) Barkworth,683
684,529,Field Locoweed,Oxytropis campestris (L.) DC. var. spicata Hook.,684
685,707,Virginia Pepperweed,Lepidium virginicum L. var. virginicum,685
686,380,Snake Canyon Milkvetch,Astragalus vallaris M.E. Jones,686
687,768,Oblongleaf Snakeherb,Dyschoriste oblongifolia (Michx.) Kuntze,687
688,426,Osmunda,Osmunda L.,688
689,949,Florida Balm,Dicerandra densiflora Benth.,689
690,985,Croft's Bluet,Houstonia croftiae Britton & Rusby,690
691,480,Christplant,Euphorbia milii Des Moul.,691
692,846,Pallas' Wallflower,Erysimum pallasii (Pursh) Fernald var. pallasii,692
693,477,Hairy Forked Nailwort,Paronychia fastigiata (Raf.) Fernald var. nuttallii (Small) Fernald,693
694,6,Bluet,Houstonia L.,694
695,457,Stickystem Penstemon,Penstemon glandulosus Douglas var. chelanensis (D.D. Keck) Cronquist,695
696,127,Texas Medusulina Lichen,Medusulina texana Müll. Arg.,696
697,453,Solorinella Lichen,Solorinella asteriscus Anzi,697
698,247,Bent Alligator-flag,Thalia geniculata L.,698
699,200,Bristlyleaf Rockcress,Arabis rectissima Greene var. simulans Rollins,699
700,680,Hoary Bowlesia,Bowlesia incana Ruiz & Pav.,700
701,971,Coastal Biscuitroot,Lomatium parvifolium (Hook. & Arn.) Jeps.,701
702,35,Fremont's Dalea,Psorothamnus fremontii (Torr. ex A. Gray) Barneby var. fremontii,702
703,795,Sarita Rosette Grass,Dichanthelium nodatum (Hitchc. & Chase) Gould,703
704,197,Havard's Century Plant,Agave havardiana Trel.,704
705,575,Goldenweed,"Nestotus R.P. Roberts, Urbatsch & Neubig",705
706,101,Orange Daisy,Erigeron aurantiacus Regel,706
707,271,Baby Blue Eyes,Nemophila Nutt.,707
708,681,Clamshell Orchid,Prosthechea cochleata (L.) W.E. Higgins var. cochleata,708
709,837,Beargrass,Nolina Michx.,709
710,118,Largeleaf Sandwort,Moehringia macrophylla (Hook.) Fenzl,710
711,412,Spotted Joe Pye Weed,Eutrochium maculatum (L.) E.E. Lamont,711
712,18,Canadian Lousewort,Pedicularis canadensis L. ssp. fluviatilis (A. Heller) W.A. Weber,712
713,328,Wrinkleseed Pygmyweed,Crassula saginoides (Maxim.) Bywater & Wickens,713
714,121,Imperfect Buckwheat,Eriogonum mancum Rydb.,714
715,437,Cindercone Isodendrion,Isodendrion hosakae H. St. John,715
716,223,Butterfly Orchid,Psychopsis papilio (Lindl.) H.G. Jones,716
717,882,Sea Spurge,Euphorbia paralias L.,717
718,182,Jio,Commelina benghalensis L.,718
719,242,Best's Hygrohypnum Moss,Hygrohypnum bestii (Renauld & Bryhn) Broth.,719
720,470,Pore Lichen,Pertusaria pruinifera Erichsen,720
721,363,Dwarf Palmetto,Sabal minor (Jacq.) Pers.,721
722,644,King Of The Meadow,Thalictrum pubescens Pursh,722
723,87,Columbian Yellowcress,Rorippa columbiae (Suksd. ex B.L. Rob.) Suksd. ex Howell,723
724,755,Rinodina Lichen,Rinodina constrictula H. Magn.,724
725,484,Bellflower Smartweed,Polygonum campanulatum Hook. f.,725
726,352,Fremont's Goosefoot,Chenopodium fremontii S. Watson var. fremontii,726
727,153,Idaho Milkvetch,Astragalus conjunctus S. Watson var. conjunctus,727
728,837,Glossy Maidenhair,Adiantum pulverulentum L.,728
729,351,Oval-leaf Knotweed,Polygonum arenastrum Jord. ex Boreau,729
730,932,Texas Selenia,Selenia dissecta Torr. & A. Gray,730
731,378,Ekaha,Elaphoglossum hirtum (Sw.) C. Chr. var. micans (Mett.) C. Chr.,731
732,468,Hester's Foxtail Cactus,Escobaria hesteri (Y. Wright) Buxbaum,732
733,572,Glory Of Texas,Thelocactus bicolor (Galeotti ex N.E. Pfeiffer) Britton & Rose,733
734,510,Skeletonweed,Pleiacanthus Rydb.,734
735,916,Groundplum Milkvetch,Astragalus crassicarpus Nutt. var. paysonii (E.H. Kelso) Barneby,735
736,26,Spathiphyllum,Spathiphyllum Schott,736
737,207,Protruding Buckwheat,Eriogonum nudum Douglas ex Benth. var. indictum (Jeps.) Reveal,737
738,195,False Sisal,Agave decipiens Baker,738
